O_GID,D_GID,VOL
다사5045,다사5046,105.04
다사5945,다사5945,105.04
다바6390,다바6390,105.0
다사4942,다사4943,104.96
다사2646,다사2646,104.92
다사6160,다사6160,104.88
다바9613,다바9613,104.88
다사6248,다사6149,104.79
다사5342,다사5442,104.79
다마6656,다마6656,104.71
라라1761,라라1860,104.71
마마5464,마마5563,104.67
다바7733,다바7834,104.62
다사2342,다사2342,104.62
다사4640,다사4642,104.46
다사5027,다사5128,104.42
다사3248,다사3248,104.42
다바6770,다바6770,104.33
다사5029,다사5030,104.25
마라0891,마라0792,104.17
마라4289,마라4389,104.12
다바8231,다바8231,104.04
마마6740,마마6738,104.04
다사6111,다사6113,104.0
다사9917,다사9816,103.88
라마8762,라마8762,103.88
다사3444,다사3445,103.79
마마5105,마마5105,103.75
다사6748,다사6648,103.71
다사6206,다사6206,103.62
마라0254,마라0254,103.62
다라4091,다라4192,103.62
다사3643,다사3646,103.62
마마7526,마마7526,103.58
다바8030,다바8030,103.54
다사3245,다사3245,103.54
다사4248,다사4151,103.5
마바0741,마바0941,103.46
마라0155,라라9857,103.46
마라4388,마라4387,103.46
다마4456,다마4456,103.33
라라9687,라라9688,103.33
다바6491,다바6093,103.21
다사5743,다사5743,103.17
마라4290,마라4290,103.17
다사5753,다사5652,103.04
라마9563,라마9563,102.96
다사3029,다사3126,102.92
다사2945,다사3045,102.88
다사5919,다사5919,102.83
다사3238,다사3238,102.83
라마9162,라마9162,102.83
다사5916,다사6016,102.75
라마7691,라마7591,102.71
다바8131,다바8131,102.71
다바9418,다바9418,102.67
다바9852,다바9852,102.62
다사5753,다사5752,102.54
다바9018,다바8918,102.5
다사6064,다사6064,102.5
다사2332,다사2332,102.5
다사6849,다사6748,102.46
다사9716,다사9816,102.42
다사4346,다사4346,102.33
마마3076,마마3070,102.21
다라3786,다라3685,102.21
다바6670,다바6571,102.17
다사4322,다사4322,102.12
다바6488,다바6388,102.12
다바8915,다바8815,102.12
다나0699,다나0699,101.92
다바9016,다바9016,101.88
다사5444,다사5444,101.83
다사5041,다사5041,101.83
마라2494,마라2494,101.79
다마3175,다마3175,101.75
다사3126,다사3126,101.75
다사5252,다사5452,101.75
다사6211,다사6113,101.71
다사6261,다사6161,101.67
다사3243,다사3243,101.67
라마9459,라마9459,101.62
라마9962,라마9962,101.58
마라0991,마라0590,101.58
라바7787,라바7787,101.58
마라4498,마라4498,101.54
라라5086,라라5687,101.38
다사5545,다사5545,101.33
다사3240,다사3240,101.33
라마9672,라마9572,101.33
다사3543,다사3543,101.33
라사2084,라사1986,101.33
다사6734,다사6634,101.29
다사5343,다사5343,101.29
다라3991,다라4091,101.21
다사6644,다사6643,101.17
라라9687,라라9790,101.12
라마9062,라마9062,101.08
마사4839,마사4739,101.04
마라5287,마라5186,100.96
마라0954,마라0954,100.92
다사6837,다사7137,100.83
라라0262,라라0262,100.83
다사6118,다사6017,100.79
다마5173,다마5174,100.75
다사5125,다사5125,100.67
다마9890,다마9989,100.67
다사4441,다사4542,100.67
다바8818,다바8916,100.67
다사5920,다사5920,100.62
다사4942,다사6045,100.58
다사1044,다사1044,100.58
마라0353,마라0056,100.58
다사6217,다사6217,100.58
다사6351,다사6351,100.54
다바8925,다바9025,100.5
마라4387,마라4284,100.38
마라5287,마라5387,100.33
다바0564,다바0665,100.29
다사6054,다사5954,100.17
다사5857,다사5857,100.08
다사4246,다사4947,100.04
다사6633,다사6633,100.04
마마0067,마마0067,100.0
다사2945,다사2945,99.96
마라0793,마라0792,99.92
다바9327,다바9327,99.88
다사6848,다사6748,99.88
다바9122,다바9021,99.79
다사6855,다사6755,99.75
다마5273,다마5273,99.62
다사6530,다사6529,99.54
다사6013,다사6114,99.5
다마6060,다마6560,99.46
다사6632,다사6633,99.38
다바8926,다바8926,99.33
다사5151,다사5151,99.33
다사6015,다사6015,99.29
마라4383,마라4284,99.25
다바2650,다바2650,99.21
마마0960,마마0960,99.21
라마9056,라마9056,99.21
다바9348,다바9348,99.17
마라4186,마라4186,99.17
마마1064,마마1164,99.17
마마7322,마마7321,99.17
다사3545,다사3645,99.17
마라0155,라라9858,99.08
마라3980,마라3979,99.08
다사5520,다사5520,99.0
다사6149,다사6049,99.0
다바9013,다바9213,99.0
다사6159,다사6159,98.96
마라0793,마라0793,98.92
라라5886,라라5687,98.88
다사5151,다사5251,98.88
다사5127,다사5128,98.79
다사4742,다사4643,98.75
다사5719,다사5719,98.71
다사6057,다사6057,98.67
다사4855,다사4653,98.62
다사2538,다사2638,98.62
다사4540,다사4540,98.62
마라2979,마라2777,98.58
라마7691,라마7691,98.5
다바9318,다바9318,98.46
다사5029,다사5129,98.46
다사4739,다사4739,98.42
다마2874,다마2874,98.21
다바9845,다바9845,98.21
마라0254,마라0056,98.17
다사2432,다사2433,98.08
마라4186,마라4185,98.04
다사6348,다사5844,98.0
