O_GRID,D_GRID,VOL
다바8321,다바8518,184.395623562913
다사3043,다사3144,85.6296829504011
라바6345,라바6143,108.52936333359
다사7039,다사6642,66.736598984373
다사3228,다사3224,129.136326885093
다사6053,다사6052,78.7639657498031
다사3243,다사3445,57.3592689050614
다사6530,다사6633,140.693572279411
다사4321,다사3622,75.8024445563944
마마0960,마마0964,64.718931607464
다사4703,다바4699,53.5552563765691
다사6257,다사6457,53.6392262576433
마라4587,마라4387,73.2745306759675
마마1968,마마1964,76.2305573809615
다사4947,다사4946,84.0282824640913
다사3233,다사2734,57.0007021700006
다사3543,다사3842,54.119447874942
라마5592,라마5694,54.7700663906189
다사3543,다사3544,135.044174219458
마라3479,마라3378,53.9267977163823
마라4688,마라4389,58.7169528378347
라마8389,라마7990,56.5621143072619
마사2074,마사2475,91.5953190069991
다사5820,다사5621,62.5193542505186
다사7760,다사6855,72.1039158421491
다바4809,다바4709,201.32444836331
라바0711,라바0611,63.2845913367208
다사4149,다사5452,70.2521033781363
다사5050,다사5049,50.6337531342629
마라3380,마라2382,68.3945872933862
라바3787,라바3885,96.2710440060137
다사6111,다사6211,81.7782895453845
마마3906,마마3907,80.1473655050119
다바9317,다바9219,56.6478631690412
마라3579,마라3579,61.3167067964153
다바8925,다바8917,57.6608389637708
다사4855,다사4854,130.147094781893
다바9348,다바9549,63.6314128653986
마라4376,마라4276,55.1281742509074
다사6749,다사6546,52.2321647868412
마마1223,마마1322,150.604047008104
다사6943,다사6844,54.4185507843324
다사5756,다사5452,143.306368840457
다사6456,다사5251,66.0640517495013
다사6737,다사6841,74.2969493450148
다사5971,다사5971,76.4559765087496
다사3543,다사3646,190.574793408317
다사3147,다사3248,87.7593005338161
다사6426,다사6533,133.881246211046
마마6781,마마6782,68.261412670767
다사5252,다사5351,150.547882811214
다사6159,다사5251,147.363100775857
라라9893,라라9994,92.705789455841
라마7069,라마7169,83.2713849190745
다라4182,다라4084,104.53925066197
라바8644,라바8551,139.362998985656
다사7251,다사7350,59.0945589709067
다바7833,다바8424,53.356379197963
다다1002,다다1001,71.7992213740816
마라0891,마라0792,152.67031750641
다사5872,다사5970,52.3515094286417
다사4321,다사3224,57.437308528234
다라4582,다라4084,55.4980818977799
다사6057,다사5956,88.2451929011892
다사3923,다사4024,208.643072044941
다바7833,다바8449,171.043602114013
다사5851,다사5850,87.6014847139789
다사3952,다사4947,101.492997687909
마라1990,마라1993,99.0630033194496
